column_name,dtype,notes
vin_date,string,
vin,string,
BODY_STYLE_SEGMENT_BODY_TYPE,string,
cef_est_curr_mi_grp_imps,double,
ODOMETER_IMP_FLAG,int64,
geo_pop_density_ntile,double,
POP_DENSITY_IMP_FLAG,int64,
CALC_VEH_AGE,double,
st_raw,string,
vc_msrp_impa,double,
Dep_factor,double,
veh_value_dep,double,
superpolicy_id,uint32,
fold,int64,
pp_bi,double,
pp_pd,double,
pp_pip,double,
pp_coll,double,
pp_comp,double,
