max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,n_estimators,fit_quality,model_power,lift_opt_score,mae
6,0.1,1000,1.0,1.0,10,0.789599913778858,0.24744234072431306,0.7604741796825095,400.58594510060817
6,0.1,500,0.8,1.0,10,0.7893729692805838,0.24897883699608073,0.7601865604758431,400.2496138113062
6,0.1,500,1.0,1.0,10,0.7894721000572036,0.2474367522835714,0.760085293444849,400.58269337077166
6,0.1,1000,0.8,1.0,10,0.7882575968515875,0.2489689854676011,0.7567807549383444,400.2549351984433
6,0.1,2000,1.0,1.0,10,0.7866573393949577,0.24712771755085128,0.7513644164736994,400.5755276339791
6,0.1,2000,0.8,1.0,10,0.7857557813096533,0.2488887560719827,0.7490072018082857,400.2377895521229
6,0.1,500,0.8,0.8,10,0.7768724717506352,0.24277169183930414,0.7185869155999918,400.2490306527604
6,0.1,2000,0.8,0.8,10,0.7764389155766714,0.24272576252238676,0.7171136073330697,400.27778617560483
6,0.1,1000,0.8,0.8,10,0.7761972738943003,0.24268118766990351,0.7162854762623045,400.2644557832875
6,0.1,500,1.0,0.8,10,0.7757720570996678,0.24239768752313134,0.714772668825061,400.6872037292157
6,0.1,2000,1.0,0.8,10,0.775255911078466,0.24223979070189752,0.7129769790790583,400.7452592877535
5,0.1,2000,1.0,1.0,10,0.77528389744664,0.23616428135335155,0.7115315074365213,401.89856946177457
5,0.1,1000,1.0,1.0,10,0.7751931345352238,0.23618421743000068,0.7112276679212213,401.8921984517251
5,0.1,500,1.0,1.0,10,0.7751931345352238,0.23618421743000068,0.7112276679212213,401.8921984517251
4,0.1,1000,1.0,1.0,10,0.7763667929934439,0.21969326887228907,0.7109107030151528,402.8960037612928
4,0.1,2000,1.0,1.0,10,0.7763667929934439,0.21969326887228907,0.7109107030151528,402.8960037612928
4,0.1,2000,1.0,0.8,10,0.7763105066692649,0.22021442301497135,0.7108595254824186,402.96649423710574
4,0.1,500,1.0,0.8,10,0.7763105066692649,0.22021442301497135,0.7108595254824186,402.96649423710574
4,0.1,1000,1.0,0.8,10,0.7763105066692649,0.22021442301497135,0.7108595254824186,402.96649423710574
4,0.1,500,1.0,1.0,10,0.7763042812130336,0.21969809933804654,0.7107020199586849,402.89514688173443
3,0.1,2000,1.0,0.8,10,0.777408532210575,0.20262436751500454,0.7097804857822978,403.77708038759766
3,0.1,500,1.0,0.8,10,0.777408532210575,0.20262436751500454,0.7097804857822978,403.77708038759766
3,0.1,1000,1.0,0.8,10,0.777408532210575,0.20262436751500454,0.7097804857822978,403.77708038759766
6,0.1,1000,1.0,0.8,10,0.7742230157175434,0.24243052977096904,0.7094895365592868,400.69497478504053
3,0.1,1000,0.8,1.0,10,0.776993180451736,0.2060374289737621,0.7093356137420748,403.6756965346779
3,0.1,500,0.8,1.0,10,0.776993180451736,0.2060374289737621,0.7093356137420748,403.6756965346779
3,0.1,2000,0.8,1.0,10,0.776993180451736,0.2060374289737621,0.7093356137420748,403.6756965346779
4,0.1,1000,0.8,1.0,10,0.7740028583290454,0.22247378869721496,0.7036257969792679,402.6841489780191
4,0.1,2000,0.8,1.0,10,0.7740028583290454,0.22247378869721496,0.7036257969792679,402.6841489780191
4,0.1,500,0.8,1.0,10,0.7739314418642287,0.2224739115600579,0.7033812385958812,402.68420833711195
5,0.1,1000,0.8,1.0,10,0.7713304403897843,0.23633607328397102,0.697912745987645,401.6432735575982
5,0.1,500,0.8,1.0,10,0.7710599190868191,0.2363548331400932,0.69696719258604,401.6374972439425
5,0.1,2000,0.8,1.0,10,0.7702393514448355,0.23631576621148334,0.6940629631299324,401.64826280307915
3,0.1,1000,0.8,0.8,10,0.7713705661631797,0.20599751190551382,0.6901915533701313,403.69831052093457
3,0.1,500,0.8,0.8,10,0.7713705661631797,0.20599751190551382,0.6901915533701313,403.69831052093457
3,0.1,2000,0.8,0.8,10,0.7713705661631797,0.20599751190551382,0.6901915533701313,403.69831052093457
