original_column,encoding_type,output_columns,n_categories,has_other,has_missing
vc_remote_engine_start_raw,one_hot,"vc_remote_engine_start_raw_0,vc_remote_engine_start_raw_3,vc_remote_engine_start_raw_5,vc_remote_engine_start_raw___OTHER__",4,True,False
vc_satellite_radio_raw,remap_2to4_then_ordinal,vc_satellite_radio_raw,0,False,False
vc_seating_rows_raw,numeric,vc_seating_rows_raw,0,False,False
vc_luxury_flag_ind,ordinal_0_5,vc_luxury_flag_ind,0,False,False
vc_side_mirror_turn_signals_raw,binary,vc_side_mirror_turn_signals_raw,2,False,False
vc_speed_sensitive_volume_raw,binary,vc_speed_sensitive_volume_raw,2,False,False
vc_subwoofer_raw,remap_2to4_then_ordinal,vc_subwoofer_raw,0,False,False
vc_sunroof_raw,one_hot,"vc_sunroof_raw_0,vc_sunroof_raw_3,vc_sunroof_raw_5,vc_sunroof_raw___OTHER__",4,True,False
vc_surround_sound_raw,one_hot,"vc_surround_sound_raw_1,vc_surround_sound_raw_3,vc_surround_sound_raw_4,vc_surround_sound_raw_5,vc_surround_sound_raw___OTHER__",5,True,False
vc_taillights_led_raw,remap_2to4_then_ordinal,vc_taillights_led_raw,0,False,False
vc_tinted_windows_raw,one_hot,"vc_tinted_windows_raw_0,vc_tinted_windows_raw_3,vc_tinted_windows_raw_5,vc_tinted_windows_raw___OTHER__",4,True,False
vc_touch_screen_raw,one_hot,"vc_touch_screen_raw_0,vc_touch_screen_raw_3,vc_touch_screen_raw_4,vc_touch_screen_raw_5,vc_touch_screen_raw___OTHER__",5,True,False
vc_transmission_type_automatic_ind,ordinal_0_5,vc_transmission_type_automatic_ind,0,False,False
vc_transmission_type_manual_ind,ordinal_0_5,vc_transmission_type_manual_ind,0,False,False
vc_variable_power_steering_raw,binary,vc_variable_power_steering_raw,2,False,False
vc_vehicle_immobilizer_raw,binary,vc_vehicle_immobilizer_raw,2,False,False
vc_visual_forward_collision_warning_raw,one_hot,"vc_visual_forward_collision_warning_raw_0,vc_visual_forward_collision_warning_raw_3,vc_visual_forward_collision_warning_raw_5,vc_visual_forward_collision_warning_raw___OTHER__",4,True,False
vc_wipers_automatic_raw,binary,vc_wipers_automatic_raw,2,False,False
