feature,mean_abs_shap
vc_automatic_emergency_braking_raw_0,0.0
vc_automatic_emergency_braking_raw_5,0.0
vc_automatic_emergency_braking_raw___OTHER__,0.0
vc_automatic_high_beams_raw,0.0
vc_backup_camera_raw_3,0.0
vc_backup_camera_raw___OTHER__,0.0
vc_blind_spot_warning_raw,0.0
vc_camera_raw_0,0.0
vc_camera_raw_3,0.0
vc_camera_raw_5,0.0
vc_camera_raw___OTHER__,0.0
veh_use_business_ind,0.0
vc_camera_side_raw,0.0
vc_cross_traffic_warning_raw,0.0
vc_doors_raw,0.0
vc_drive_type_awd_ind,0.0
vc_auto_dimming_side_mirrors_raw,0.0
vc_auto_dimming_rearview_mirror_raw_5,0.0
vc_active_collision_avoidance_system_raw_3,0.0
vc_auto_dimming_rearview_mirror_raw_3,0.0
vc_active_collision_avoidance_system_raw_5,0.0
vc_active_collision_avoidance_system_raw___OTHER__,0.0
vc_active_driving_assistance_raw_0,0.0
vc_active_driving_assistance_raw_3,0.0
vc_active_driving_assistance_raw_5,0.0
vc_active_driving_assistance_raw___OTHER__,0.0
vc_active_parking_assistance_raw_0,0.0
vc_active_parking_assistance_raw_5,0.0
vc_active_parking_assistance_raw___OTHER__,0.0
vc_adaptive_cruise_control_raw_0,0.0
vc_adaptive_cruise_control_raw_3,0.0
vc_adaptive_cruise_control_raw_5,0.0
vc_adaptive_cruise_control_raw___OTHER__,0.0
vc_aspiration_forced_induction_ind,0.0
vc_audible_forward_collision_warning_raw_0,0.0
vc_audible_forward_collision_warning_raw_3,0.0
vc_audible_forward_collision_warning_raw_5,0.0
vc_audible_forward_collision_warning_raw___OTHER__,0.0
vc_auto_dimming_rearview_mirror_raw_0,0.0
vc_wipers_automatic_raw,0.0
